	Scaffold_ID.#ID.on.Haplome.H2.3	pseudomolecule.(Chr1-Chr12).or.unassigned.scaffold	Gene.start.#on haplome.pseudo.molecule.(PM1N)	Gene.end	*Gene.length.#(in.bp UTR.+.CDS.+.introns)	Protein.definition .#Based.on.phytozome.process	"Tandem.duplication.(TDG,.LDG,.SG)"	Relationship.between.the.Diploid.and.Haploid.versions:.(1:1.=.18299.genes).1.copy.in.the.diploid.for.1.copy.in.haploid.version.-.(2:1.=.18817.genes).2.copies.in.the.diploid.for.1.copy.in.the.haploid.version.-.NA.=.6639.genes	hybSeqGeneID
Qrob_T0496770.2	Qrob_H2.3_Sc0000411	Chr8	33800757	33799220	1538	(M=6) PTHR31072:SF1 - TRANSCRIPTION FACTOR TCP8 (PTHR31072:SF1)	LDG	1:01	T0496770.2
Qrob_T0083070.2	Qrob_H2.3_Sc0000454	Chr8	44193536	44192019	1518	(M=8) KOG1595 - CCCH-type Zn-finger protein [General function prediction only].	SG	2:01	T0083070.2
Qrob_T0136420.2	Qrob_H2.3_Sc0000034	Chr9	38343823	38342340	1484	(M=3) PTHR24420//PTHR24420:SF670 - LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE // SUBFAMILY NOT NAMED	SG	2:01	T0136420.2
Qrob_T0093000.2	Qrob_H2.3_Sc0000093	Chr1	41023206	41021445	1762	(M=1) PTHR11514:SF29 - BASIC HELIX-LOOP-HELIX (BHLH) DNA-BINDING SUPERFAMILY PROTEIN-RELATED (PTHR11514:SF29)	SG	2:01	T0093000.2
Qrob_T0137480.2	Qrob_H2.3_Sc0000137	Chr3	46729442	46731635	2194	(M=22) PTHR31989:SF5 - F11O4.3-RELATED (PTHR31989:SF5)	LDG	1:01	T0137480.2
Qrob_T0727770.2	Qrob_H2.3_Sc0000519	Chr3	52653052	52654794	1743	(M=8) PTHR12374//PTHR12374:SF19 - TRANSCRIPTIONAL ADAPTOR 2 (ADA2)-RELATED // SUBFAMILY NOT NAMED (PTHR12374:SF19)	LDG	2:01	T0727770.2
Qrob_T0276790.2	Qrob_H2.3_Sc0000312	Chr6	27809901	27803952	5950	(M=4) PF00931//PF01582//PF07725//PF13855 - NB-ARC domain // TIR domain // Leucine Rich Repeat // Leucine rich repeat	TDG	1:01	T0276790.2
Qrob_T0043270.2	Qrob_H2.3_Sc0000018	Chr4	1256189	1265836	9648	(M=63) PF00931//PF01582 - NB-ARC domain // TIR domain	TDG	NA	T0043270.2
Qrob_T0011280.2	Qrob_H2.3_Sc0000005	Chr11	34828876	34831782	2907	(M=85) PTHR23155//PTHR23155:SF445 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED	TDG	NA	T0011280.2
Qrob_T0265180.2	Qrob_H2.3_Sc0000133	Chr7	22092229	22087193	5037	(M=100) 3.6.4.13 - RNA helicase.	SG	2:01	T0265180.2
Qrob_T0567500.2	Qrob_H2.3_Sc0000384	Chr12	9912421	9916016	3596	(M=8) K01177 - beta-amylase [EC:3.2.1.2]	LDG	2:01	T0567500.2
Qrob_T0609950.2	Qrob_H2.3_Sc0000083	Chr2	46863729	46860217	3513	(M=2) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED (PTHR22950:SF235)	LDG	2:01	T0609950.2
Qrob_T0331600.2	Qrob_H2.3_Sc0000486	Qrob_H2.3_Sc0000486	392124	390135	1990	(M=45) PF00892 - EamA-like transporter family	TDG	2:01	T0331600.2
Qrob_T0630820.2	Qrob_H2.3_Sc0000158	Chr2	26199739	26198471	1269	(M=11) 2.7.1.107 - Diacylglycerol kinase.	SG	2:01	T0630820.2
Qrob_T0080590.2	Qrob_H2.3_Sc0000118	Chr11	5285360	5283261	2100	(M=55) PTHR10217:SF465 - CYCLIC NUCLEOTIDE-GATED ION CHANNEL 11-RELATED (PTHR10217:SF465)	TDG	1:01	T0080590.2
Qrob_T0653160.2	Qrob_H2.3_Sc0000237	Chr12	14011959	14013028	1070	"(M=19) PTHR11102:SF11 - SEL-1-LIKE PROTEIN, SEL-1L"	TDG	2:01	T0653160.2
Qrob_T0178450.2	Qrob_H2.3_Sc0000246	Chr5	16066107	16068376	2270	(M=25) 3.1.3.2 - Acid phosphatase.	TDG	2:01	T0178450.2
Qrob_T0357720.2	Qrob_H2.3_Sc0000057	Chr11	21228136	21233358	5223	(M=20) K00025 - malate dehydrogenase [EC:1.1.1.37]	TDG	2:01	T0357720.2
Qrob_T0080580.2	Qrob_H2.3_Sc0000118	Chr11	5296251	5290732	5520	"(M=34) K05391 - cyclic nucleotide gated channel, other eukaryote"	TDG	1:01	T0080580.2
Qrob_T0131370.2	Qrob_H2.3_Sc0000130	Chr7	38439843	38441118	1276	(M=3) PTHR13943:SF32 - NC DOMAIN-CONTAINING PROTEIN-LIKE PROTEIN (PTHR13943:SF32)	TDG	2:01	T0131370.2
Qrob_T0088470.2	Qrob_H2.3_Sc0000090	Chr7	44355608	44356729	1122	(M=30) 1.14.13.152 - Geraniol 8-hydroxylase.	TDG	2:01	T0088470.2
Qrob_T0107060.2	Qrob_H2.3_Sc0000106	Chr12	16269949	16270557	609	(M=4) PF02672 - CP12 domain	SG	1:01	T0107060.2
Qrob_T0654080.2	Qrob_H2.3_Sc0000095	Chr10	70536	69500	1037	(M=15) PF14299 - Phloem protein 2	LDG	1:01	T0654080.2
Qrob_T0215910.2	Qrob_H2.3_Sc0000510	Chr12	28575693	28567995	7699	(M=1) KOG0054//KOG0055//KOG0056//KOG0057//KOG0058//KOG0060//KOG0061//KOG0065//KOG0927//KOG2355 - Multidrug resistance-associated protein/mitoxantrone resistance protein  ABC superfamily [Secondary metabolites biosynthesis  transport and catabolism]. // Multidrug/pheromone exporter  ABC superfamily [Secondary metabolites biosynthesis  transport and catabolism]. // Heavy metal exporter HMT1  ABC superfamily [Inorganic ion transport and metabolism]. // Mitochondrial Fe/S cluster exporter  ABC superfamily [Intracellular trafficking  secretion  and vesicular transport]. // Peptide exporter  ABC superfamily [Intracellular trafficking  secretion  and vesicular transport]. // Long-chain acyl-CoA transporter  ABC superfamily (involved in peroxisome organization and biogenesis) [Lipid transport and metabolism  General function prediction only]. // Transporter  ABC superfamily (Breast cancer resistance protein) [Secondary metabolites biosynthesis  transport and catabolism]. // Pleiotropic drug resistance proteins (PDR1-15)  ABC superfamily [Secondary metabolites biosynthesis  transport and catabolism]. // Predicted transporter (ABC superfamily) [General function prediction only]. // Predicted ABC-type transport  ATPase component/CCR4 associated factor [General function prediction only  Transcription].	LDG	NA	T0215910.2
Qrob_T0304470.2	Qrob_H2.3_Sc0000158	Chr2	26650258	26656009	5752	(M=1) PTHR13301//PTHR13301:SF30 - X-BOX TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED	LDG	NA	T0304470.2
Qrob_T0731620.2	Qrob_H2.3_Sc0000283	Chr8	36247404	36238449	8956	(M=2) 4.2.1.3 - Aconitate hydratase.	LDG	2:01	T0731620.2
Qrob_T0726020.2	Qrob_H2.3_Sc0000975	Chr2	23692237	23686431	5807	(M=5) KOG0252//KOG0253//KOG0254//KOG0255//KOG0569//KOG2532 - Inorganic phosphate transporter [Inorganic ion transport and metabolism]. // Synaptic vesicle transporter SV2 (major facilitator superfamily) [General function prediction only]. // Predicted transporter (major facilitator superfamily) [General function prediction only]. // Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily) [General function prediction only]. // Permease of the major facilitator superfamily [Carbohydrate transport and metabolism]. // Permease of the major facilitator superfamily [Carbohydrate transport and metabolism].	LDG	NA	T0726020.2
Qrob_T0032230.2	Qrob_H2.3_Sc0000020	Chr4	30776719	30786480	9762	(M=2) 6.1.1.10 - Methionine--tRNA ligase.	SG	NA	T0032230.2
Qrob_T0519170.2	Qrob_H2.3_Sc0000483	Chr1	44421895	44417342	4554	(M=7) PF00560//PF00931//PF05659 - Leucine Rich Repeat // NB-ARC domain // Arabidopsis broad-spectrum mildew resistance protein RPW8	TDG	1:01	T0519170.2
Qrob_T0742900.2	Qrob_H2.3_Sc0000909	Chr8	44335968	44345160	9193	(M=2) 4.1.1.31 - Phosphoenolpyruvate carboxylase.	LDG	NA	T0742900.2
Qrob_T0124710.2	Qrob_H2.3_Sc0000109	Chr1	43045424	43049808	4385	(M=7) PF00560//PF00931//PF05659 - Leucine Rich Repeat // NB-ARC domain // Arabidopsis broad-spectrum mildew resistance protein RPW8	TDG	1:01	T0124710.2
Qrob_T0493470.2	Qrob_H2.3_Sc0000147	Chr3	8675095	8669238	5858	(M=4) 1.6.3.1 - NAD(P)H oxidase.	TDG	2:01	T0493470.2
Qrob_T0440000.2	Qrob_H2.3_Sc0000398	Chr12	27975829	27968622	7208	(M=2) PTHR12526:SF27 - SUCROSE SYNTHASE	LDG	NA	T0440000.2
Qrob_T0178900.2	Qrob_H2.3_Sc0000322	Chr3	10233271	10224023	9249	(M=1) KOG0393//KOG0395//KOG1707 - Ras-related small GTPase  Rho type [General function prediction only]. // Ras-related GTPase [General function prediction only]. // Predicted Ras related/Rac-GTP binding protein [Defense mechanisms].	LDG	2:01	T0178900.2
Qrob_T0251500.2	Qrob_H2.3_Sc0000037	Chr11	51087001	51079219	7783	(M=23) KOG0252//KOG0253//KOG0254//KOG0255//KOG0569 - Inorganic phosphate transporter [Inorganic ion transport and metabolism]. // Synaptic vesicle transporter SV2 (major facilitator superfamily) [General function prediction only]. // Predicted transporter (major facilitator superfamily) [General function prediction only]. // Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily) [General function prediction only]. // Permease of the major facilitator superfamily [Carbohydrate transport and metabolism].	LDG	NA	T0251500.2
Qrob_T0225400.2	Qrob_H2.3_Sc0000216	Chr11	1458828	1461618	2791	(M=6) PTHR10795//PTHR10795:SF321 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SUBFAMILY NOT NAMED	LDG	NA	T0225400.2
Qrob_T0707350.2	Qrob_H2.3_Sc0000095	Chr10	1041345	1037523	3823	(M=67) PF00010 - Helix-loop-helix DNA-binding domain	SG	2:01	T0707350.2
Qrob_T0080420.2	Qrob_H2.3_Sc0000118	Chr11	5585906	5576263	9644	(M=1) K16278 - E3 ubiquitin-protein ligase HOS1 [EC:2.3.2.27]	SG	2:01	T0080420.2
Qrob_T0454970.2	Qrob_H2.3_Sc0000050	Chr8	61473654	61466176	7479	(M=1) PTHR12687:SF8 - NOC2P FAMILY PROTEIN (PTHR12687:SF8)	SG	NA	T0454970.2
Qrob_T0685880.2	Qrob_H2.3_Sc0000553	Chr12	38044085	38051399	7315	(M=1) K01610 - phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	SG	2:01	T0685880.2
Qrob_T0718850.2	Qrob_H2.3_Sc0000183	Chr2	75682842	75677394	5449	(M=1) PTHR24198//PTHR24198:SF20 - ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN // SUBFAMILY NOT NAMED	SG	1:01	T0718850.2
Qrob_T0276670.2	Qrob_H2.3_Sc0000312	Chr6	28068644	28063038	5607	(M=1) PTHR10615//PTHR10615:SF91 - HISTONE ACETYLTRANSFERASE // SUBFAMILY NOT NAMED	SG	1:01	T0276670.2
Qrob_T0313190.2	Qrob_H2.3_Sc0000268	Chr7	24275967	24280775	4809	(M=1) KOG4780 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0313190.2
Qrob_T0657130.2	Qrob_H2.3_Sc0000478	Chr7	51991527	51983182	8346	(M=1) PTHR23355 - RIBONUCLEASE	SG	2:01	T0657130.2
Qrob_T0200840.2	Qrob_H2.3_Sc0000170	Chr6	35746274	35756944	10671	(M=1) K10772 - AP endonuclease 2 [EC:4.2.99.18]	SG	NA	T0200840.2
Qrob_T0181850.2	Qrob_H2.3_Sc0000063	Chr9	823343	831118	7776	(M=1) PTHR12103//PTHR12103:SF20 - CYTOSOLIC PURINE 5-NUCLEOTIDASE-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0181850.2
Qrob_T0631360.2	Qrob_H2.3_Sc0000053	Chr6	11988569	11983411	5159	(M=1) PTHR11246//PTHR11246:SF11 - PRE-MRNA SPLICING FACTOR // SUBFAMILY NOT NAMED (PTHR11246:SF11)	SG	1:01	T0631360.2
Qrob_T0252040.2	Qrob_H2.3_Sc0000299	Chr1	18262145	18255185	6961	(M=1) PTHR19241:SF200 - ABC TRANSPORTER G FAMILY MEMBER 3 (PTHR19241:SF200)	SG	NA	T0252040.2
Qrob_T0361150.2	Qrob_H2.3_Sc0000450	Chr10	24918660	24910088	8573	"(M=1) PTHR31860:SF6 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MYF24 (PTHR31860:SF6)"	SG	1:01	T0361150.2
Qrob_T0322880.2	Qrob_H2.3_Sc0000035	Chr1	34452516	34449169	3348	(M=1) 4.1.99.17 - Phosphomethylpyrimidine synthase.	SG	2:01	T0322880.2
Qrob_T0532570.2	Qrob_H2.3_Sc0000038	Chr1	37595598	37602388	6791	(M=1) KOG4467 - Uncharacterized conserved protein [Function unknown].	SG	2:01	T0532570.2
Qrob_T0689040.2	Qrob_H2.3_Sc0000184	Chr11	21275734	21281656	5923	"(M=1) PTHR11817:SF14 - PLASTIDIAL PYRUVATE KINASE 1, CHLOROPLASTIC (PTHR11817:SF14)"	SG	2:01	T0689040.2
Qrob_T0687160.2	Qrob_H2.3_Sc0000667	Chr1	10564171	10559250	4922	(M=1) 6.3.4.3 - Formate--tetrahydrofolate ligase.	SG	1:01	T0687160.2
Qrob_T0005890.2	Qrob_H2.3_Sc0000006	Chr6	21028182	21034853	6672	(M=1) PF12014 - Domain of unknown function (DUF3506)	SG	2:01	T0005890.2
Qrob_T0433000.2	Qrob_H2.3_Sc0000016	Chr2	9989877	9980922	8956	(M=1) K12178 - COP9 signalosome complex subunit 4	SG	NA	T0433000.2
Qrob_T0658550.2	Qrob_H2.3_Sc0000031	Chr9	37689354	37678364	10991	(M=1) K12667 - oligosaccharyltransferase complex subunit delta (ribophorin II)	SG	2:01	T0658550.2
Qrob_T0489190.2	Qrob_H2.3_Sc0001059	Chr12	39629157	39638544	9388	(M=1) PTHR10751:SF38 - GUANYLATE-BINDING FAMILY PROTEIN (PTHR10751:SF38)	SG	NA	T0489190.2
Qrob_T0083350.2	Qrob_H2.3_Sc0000054	Chr1	48999300	48992448	6853	(M=1) K10140 - DNA damage-binding protein 2	SG	2:01	T0083350.2
Qrob_T0457120.2	Qrob_H2.3_Sc0000134	Chr8	70402530	70400147	2384	(M=1) KOG0161//KOG0962//KOG0976 - Myosin class II heavy chain [Cytoskeleton]. // DNA repair protein RAD50  ABC-type ATPase/SMC superfamily [Replication  recombination and repair]. // Rho/Rac1-interacting serine/threonine kinase Citron [Signal transduction mechanisms].	SG	NA	T0457120.2
Qrob_T0032570.2	Qrob_H2.3_Sc0000360	Chr10	49497116	49502355	5240	(M=1) 1.5.1.20 - Methylenetetrahydrofolate reductase (NAD(P)H).	SG	NA	T0032570.2
Qrob_T0624320.2	Qrob_H2.3_Sc0000630	Chr2	9321193	9312852	8342	(M=1) K01810 - glucose-6-phosphate isomerase [EC:5.3.1.9]	SG	NA	T0624320.2
Qrob_T0238920.2	Qrob_H2.3_Sc0000011	Chr6	55241748	55250926	9179	"(M=1) 3.1.3.66 - Phosphatidylinositol-3,4-bisphosphate 4-phosphatase."	SG	1:01	T0238920.2
Qrob_T0311930.2	Qrob_H2.3_Sc0000231	Chr5	57565752	57561386	4367	(M=1) K14557 - U3 small nucleolar RNA-associated protein 6	SG	NA	T0311930.2
Qrob_T0483750.2	Qrob_H2.3_Sc0000376	Chr3	38504667	38507738	3072	(M=1) PTHR11654//PTHR11654:SF83 - OLIGOPEPTIDE TRANSPORTER-RELATED // SUBFAMILY NOT NAMED	SG	2:01	T0483750.2
Qrob_T0661920.2	Qrob_H2.3_Sc0000662	Chr7	9722618	9714115	8504	(M=1) PTHR23180:SF202 - ADP-RIBOSYLATION FACTOR GTPASE-ACTIVATING PROTEIN AGD14-RELATED (PTHR23180:SF202)	SG	1:01	T0661920.2
Qrob_T0228250.2	Qrob_H2.3_Sc0000192	Chr2	39075602	39084578	8977	(M=1) 2.8.4.5 - tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase.	SG	2:01	T0228250.2
Qrob_T0160680.2	Qrob_H2.3_Sc0000190	Chr8	42894803	42887896	6908	(M=1) PTHR10909//PTHR10909:SF187 - ELECTRON TRANSPORT OXIDOREDUCTASE // SUBFAMILY NOT NAMED	SG	1:01	T0160680.2
Qrob_T0340860.2	Qrob_H2.3_Sc0000140	Chr11	37639190	37645952	6763	(M=1) K12829 - splicing factor 3B subunit 2	SG	NA	T0340860.2
Qrob_T0766940.2	Qrob_H2.3_Sc0000186	Chr2	82825129	82831787	6659	(M=1) K14843 - pescadillo	SG	2:01	T0766940.2
Qrob_T0608200.2	Qrob_H2.3_Sc0000159	Chr1	35773050	35778266	5217	(M=1) K12872 - pre-mRNA-splicing factor RBM22/SLT11	SG	2:01	T0608200.2
Qrob_T0345420.2	Qrob_H2.3_Sc0000125	Chr12	31739514	31744220	4707	(M=1) 6.3.5.2 - GMP synthase (glutamine-hydrolyzing).	SG	NA	T0345420.2
Qrob_T0057510.2	Qrob_H2.3_Sc0000048	Chr3	33379292	33386516	7225	(M=1) KOG3735 - Tropomodulin and leiomodulin [Cytoskeleton].	SG	2:01	T0057510.2
Qrob_T0041030.2	Qrob_H2.3_Sc0000012	Chr3	6339188	6331745	7444	(M=1) PTHR13620:SF2 - gb def: cg6744 gene product [drosophila melanogaster]	SG	2:01	T0041030.2
